#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T06:09:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T06:09:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2f155%2frc3&-out=name%2caltname%2cRA2000%2cDE2000%2cT%2cD25%2cR25%2cPA%2cBT%2cAe%2cm%27e&-out.max=unlimited&BT=%3c13.5&-sort=BT	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	Ae	(F5.2)	? Log Ae (effective aperture)	[ucd=instr.fov]
#Column	m'e	(F5.2)	? m'e	[ucd=phot.mag.sb]
name	altname	RA2000	DE2000	T	D25	R25	PA	BT	Ae	m'e
NGC   658   	 UGC  1192     	01 42 09.9	+12 36 09	 3.0	 1.48	 0.28	 20	13.12	 0.89	13.06
            	 ESO  356- 22  	02 57 49.0	-36 43 02	 4.5	 1.32	 0.20	152	13.12	 1.04	13.81
            	 ESO  434- 28  	09 44 14.2	-28 50 55	-3.0	 1.19	 0.11	102	13.12	 1.01	13.66
NGC  3985   	 UGC  6921     	11 56 42.0	+48 20 06	 9.0	 1.11	 0.19	 73	13.12	     	
A   1156+52 	 UGC  6983     	11 59 08.6	+52 42 26	 6.0	 1.54	 0.16	 85	13.12	     	
NGC  4248   	 UGC  7335     	12 17 50.2	+47 24 37	90.0	 1.48	 0.44	108	13.12	     	
NGC  4343   	 UGC  7465     	12 23 38.0	+06 57 21	 3.0	 1.40	 0.54	133	13.12	     	
NGC  4575   	 ESO  322- 36  	12 37 51.8	-40 32 17	 3.8	 1.30	 0.19	106	13.12	 0.84	12.81
NGC  4789   	 UGC  8028     	12 54 19.0	+27 04 10	-2.3	 1.28	 0.10	   	13.12	 0.96	13.41
NGC  5874   	 UGC  9736     	15 07 52.4	+54 45 12	 4.5	 1.36	 0.16	 53	13.12	 1.05	13.86
NGC  6173   	 UGC 10421     	16 29 44.9	+40 48 52	-5.0	 1.28	 0.12	140	13.12	 0.95	13.36
NGC   148   	 ESO  410- 20  	00 34 15.8	-31 47 10	-1.5	 1.30	 0.40	 90	13.13	 0.51	11.17
NGC  1800   	 ESO  422- 30  	05 06 26.2	-31 57 16	10.0	 1.30	 0.26	113	13.13	 0.69	12.07
A   0508-31 	 ESO  422- 41  	05 10 46.7	-31 35 52	 8.5	 1.47	 0.08	   	13.13	 1.15	14.37
NGC  3605   	 UGC  6295     	11 16 46.7	+18 01 04	-5.0	 1.19	 0.18	 17	13.13	 0.85	12.87
            	 UGC  6917     	11 56 29.9	+50 25 42	 9.0	 1.55	 0.24	130	13.13	     	
NGC  7080   	 UGC 11756     	21 30 01.7	+26 43 05	 3.0	 1.26	 0.02	   	13.13	 1.08	14.02
NGC  7339   	 UGC 12122     	22 37 46.9	+23 47 14	 4.0	 1.48	 0.61	 93	13.13	     	
NGC  7650   	 ESO  148- 10  	23 25 21.5	-57 47 24	 5.7	 1.14	 0.10	   	13.13	 0.91	13.17
NGC   238   	 ESO  194- 31  	00 43 26.0	-50 11 05	 3.1	 1.29	 0.09	 93	13.14	 1.07	13.98
NGC   357   	 MCG -1- 3- 81 	01 03 21.9	-06 20 23	 0.0	 1.38	 0.14	   	13.14	 0.86	12.93
NGC   529   	 UGC   995     	01 25 40.3	+34 42 47	-3.0	 1.38	 0.06	160	13.14	     	
NGC  1659   	 MCG -1-13-  6 	04 46 30.0	-04 47 21	 4.0	 1.21	 0.15	 50	13.14	     	
NGC  2992   	 MCG -2-25- 14 	09 45 42.1	-14 19 39	 1.0	 1.55	 0.51	   	13.14	 0.76	12.43
NGC  3269   	 ESO  375- 44  	10 29 57.6	-35 13 30	-1.0	 1.40	 0.34	  8	13.14	 0.79	12.58
NGC  3564   	 ESO  377- 18  	11 10 35.8	-37 33 00	-2.0	 1.25	 0.37	 15	13.14	 0.71	12.18
NGC  4416   	 UGC  7541     	12 26 46.8	+07 55 08	 6.0	 1.23	 0.04	   	13.14	     	
NGC  4483   	 UGC  7649     	12 30 40.7	+09 00 56	-1.0	 1.20	 0.26	 65	13.14	 0.71	11.25
IC   4810   	 ESO  184-  2  	19 02 59.1	-56 09 31	 6.8	 1.54	 0.96	136	13.14	 1.29	15.08
NGC  7757   	 UGC 12788     	23 48 45.1	+04 10 24	 5.0	 1.39	 0.13	115	13.14	 1.06	13.86
NGC   194   	 UGC   407     	00 39 18.4	+03 02 10	-5.0	 1.19	 0.04	 30	13.15	 0.80	12.64
NGC   828   	 UGC  1655     	02 10 09.2	+39 11 29	 1.0	 1.46	 0.11	   	13.15	 0.98	13.54
NGC  1536   	 ESO  157-  5  	04 11 01.0	-56 29 13	 5.0	 1.30	 0.14	155	13.15	 0.97	13.49
NGC  2942   	 UGC  5140     	09 39 07.8	+34 00 16	 5.0	 1.35	 0.10	165	13.15	 1.15	14.39
NGC  4169   	 UGC  7202     	12 12 19.0	+29 10 49	-2.0	 1.26	 0.29	153	13.15	     	
NGC  4480   	 UGC  7647     	12 30 26.5	+04 14 53	 5.0	 1.36	 0.29	175	13.15	     	
NGC  4630   	 UGC  7871     	12 42 31.5	+03 57 37	10.0	 1.26	 0.15	 10	13.15	     	
NGC  5770   	 UGC  9575     	14 53 15.2	+03 57 37	-2.0	 1.23	 0.13	   	13.15	     	
NGC  6739   	 ESO  141- 28  	19 07 48.4	-61 22 05	-2.2	 1.38	 0.45	171	13.15	 0.66	11.94
NGC  6877   	 ESO   73- 36  	20 18 37.1	-70 51 16	-5.0	 1.25	 0.33	169	13.15	 0.95	13.39
NGC  6926   	 UGC 11588     	20 33 06.2	-02 01 41	 4.0	 1.29	 0.16	  0	13.15	     	
NGC   736   	 UGC  1414     	01 56 41.1	+33 02 38	-4.0	 1.19	 0.02	   	13.16	 0.83	12.80
NGC  1879   	 ESO  423-  6  	05 19 48.4	-32 08 31	 8.7	 1.39	 0.16	 60	13.16	 1.05	13.90
NGC  2545   	 UGC  4287     	08 14 14.4	+21 21 25	 2.0	 1.30	 0.24	170	13.16	 0.86	12.95
IC   3010   	 ESO  441-  6  	12 07 56.9	-30 20 24	-0.8	 1.29	 0.04	 84	13.16	 0.90	13.15
NGC  4412   	 UGC  7536     	12 26 35.9	+03 57 57	 3.0	 1.15	 0.05	   	13.16	     	
NGC  4634   	 UGC  7875     	12 42 40.4	+14 17 47	 6.0	 1.41	 0.58	156	13.16	     	
NGC  6906   	 UGC 11548     	20 23 34.1	+06 26 38	 3.5	 1.22	 0.34	 36	13.16	 0.95	13.40
NGC  6928   	 UGC 11589     	20 32 49.7	+09 55 45	 2.0	 1.30	 0.49	106	13.16	 0.95	13.40
NGC  6970   	 ESO  235-  8  	20 52 09.1	-48 46 36	 1.9	 1.14	 0.20	105	13.16	 0.59	11.60
NGC  7515   	 UGC 12418     	23 12 48.5	+12 40 50	    	 1.23	 0.02	 15	13.16	 0.83	12.80
NGC  7550   	 UGC 12456     	23 15 16.1	+18 57 47	-3.0	 1.14	 0.06	   	13.16	     	
NGC   145   	 MCG -1- 2- 27 	00 31 45.7	-05 09 09	 8.0	 1.25	 0.14	135	13.17	     	
NGC   499   	 UGC   926     	01 23 11.6	+33 27 36	-2.5	 1.21	 0.10	 82	13.17	 0.74	12.36
NGC   665   	 UGC  1223     	01 44 56.1	+10 25 21	-2.0	 1.38	 0.17	125	13.17	 0.81	12.71
NGC  3365   	 UGC  5878     	10 46 13.1	+01 48 46	 6.0	 1.65	 0.76	159	13.17	 1.22	14.76
NGC  3562   	 UGC  6242     	11 12 59.3	+72 52 44	-5.0	     	     	   	13.17	 0.88	13.06
NGC  3913   	 UGC  6813     	11 50 38.9	+55 21 12	 7.0	 1.42	 0.01	   	13.17	 0.97	13.82
NGC  4010   	 UGC  6964     	11 58 37.8	+47 15 38	 6.7	 1.63	 0.73	 66	13.17	     	
IC   4453   	 ESO  512-  4  	14 34 29.3	-27 31 07	-2.0	 1.35	 0.37	160	13.17	 0.55	11.41
IC   4704   	 ESO   71- 11  	18 27 53.8	-71 36 35	-3.0	 1.46	 0.12	165	13.17	 0.59	11.61
NGC  6984   	 ESO  235- 20  	20 57 54.3	-51 52 11	 5.0	 1.26	 0.18	101	13.17	 0.83	12.81
NGC  7417   	 ESO  109- 28  	22 57 49.5	-65 02 14	 1.5	 1.28	 0.18	  2	13.17	 0.87	13.01
NGC  7673   	 UGC 12607     	23 27 41.6	+23 35 24	 5.0	 1.11	 0.04	   	13.17	 0.49	11.11
            	 ESO   28-  6  	23 57 12.5	-75 30 06	    	 0.95	 0.09	 33	13.17	 0.93	13.31
NGC   661   	 UGC  1215     	01 44 14.6	+28 42 20	-4.0	 1.24	 0.09	 60	13.18	 0.68	12.07
NGC   910   	 UGC  1875     	02 25 26.8	+41 49 27	-4.0	 1.30	 0.00	   	13.18	 0.95	13.42
NGC   947   	 ESO  545- 21  	02 28 32.9	-19 02 26	 5.2	 1.31	 0.28	 50	13.18	 1.00	13.67
NGC  1375   	 ESO  358- 24  	03 35 16.6	-35 15 59	-2.0	 1.35	 0.42	 91	13.18	 0.74	12.37
NGC  2104   	 ESO  205-  2  	05 47 04.8	-51 33 07	 8.5	 1.30	 0.33	160	13.18	 0.98	13.57
NGC  2314   	 UGC  3677     	07 10 32.4	+75 19 38	-5.0	 1.24	 0.09	 25	13.18	 0.66	11.97
NGC  3032   	 UGC  5292     	09 52 08.0	+29 14 13	-2.0	 1.30	 0.05	 95	13.18	 0.49	11.12
A   1137+46 	 UGC  6628     	11 40 05.7	+45 56 32	 9.0	 1.46	 0.00	   	13.18	     	
NGC  4193   	 UGC  7234     	12 13 53.5	+13 10 28	 5.0	 1.31	 0.29	 93	13.18	     	
NGC  6870   	 ESO  233- 41  	20 10 10.5	-48 17 14	 1.7	 1.42	 0.33	 85	13.18	     	
NGC    95   	 UGC   214     	00 22 14.2	+10 29 38	 5.0	 1.29	 0.24	   	13.19	 0.86	12.98
NGC  2502   	 ESO  209-  8  	07 55 52.2	-52 18 27	-2.0	 1.31	 0.20	126	13.19	 0.78	12.58
A   1004+53 	 UGC  5459     	10 08 10.2	+53 04 55	 5.3	 1.68	 0.81	132	13.19	 1.05	13.93
IC   2977   	 ESO  379-  9  	11 55 14.4	-37 41 42	90.0	 1.32	 0.34	122	13.19	 0.88	13.08
NGC  4497   	 UGC  7665     	12 31 32.9	+11 37 37	-1.0	 1.31	 0.34	 65	13.19	 1.02	13.55
IC   3476   	 UGC  7695     	12 32 42.3	+14 03 04	 9.5	 1.33	 0.08	 30	13.19	     	
NGC  4779   	 UGC  8022     	12 53 50.8	+09 42 33	 4.0	 1.33	 0.07	 70	13.19	     	
            	 ESO  605- 16  	23 37 07.5	-20 27 54	 5.0	 1.22	 0.07	   	13.19	 1.03	13.83
NGC   536   	 UGC  1013     	01 26 21.6	+34 42 14	 3.0	 1.47	 0.44	 62	13.20	 0.72	12.30
NGC   673   	 UGC  1259     	01 48 22.8	+11 31 23	 5.0	 1.33	 0.11	  0	13.20	 0.92	13.29
NGC   677   	 UGC  1275     	01 49 14.6	+13 03 18	-5.0	 1.30	 0.00	   	13.20	 1.13	14.35
NGC   706   	 UGC  1334     	01 51 50.3	+06 17 44	 4.0	 1.27	 0.13	   	13.20	 0.79	12.64
NGC   818   	 UGC  1633     	02 08 44.4	+38 46 36	 4.5	 1.47	 0.36	113	13.20	 0.91	13.24
IC   1783   	 ESO  354- 46  	02 10 05.3	-32 56 24	 2.8	 1.30	 0.40	  3	13.20	 0.71	12.24
IC   1830   	 ESO  416-  6  	02 39 03.6	-27 26 43	-0.5	 1.22	 0.08	   	13.20	     	
IC   1959   	 ESO  200- 39  	03 33 12.0	-50 24 46	 9.0	 1.45	 0.63	147	13.20	 0.93	13.38
NGC  2227   	 ESO  556- 23  	06 25 58.0	-22 00 19	 5.0	 1.33	 0.27	 19	13.20	 1.02	13.79
A   0708+73A	 UGC  3730     	07 14 20.8	+73 28 51	10.0	 1.45	 0.28	165	13.20	 1.13	14.38
            	 MCG -1-26- 21 	10 05 41.7	-07 58 53	-2.0	 1.24	 0.08	   	13.20	 1.23	14.87
IC   2580   	 ESO  436- 25  	10 28 18.7	-31 31 09	 4.8	 1.27	 0.03	   	13.20	 1.09	14.07
A   1033-24 	 ESO  501- 23  	10 35 23.6	-24 45 21	 8.0	 1.54	 0.10	 14	13.20	 1.33	15.34
NGC  3547   	 UGC  6209     	11 09 55.4	+10 43 23	 3.0	 1.28	 0.31	  7	13.20	     	
NGC  3664   	 UGC  6419     	11 24 24.8	+03 19 39	 9.0	 1.31	 0.03	   	13.20	 1.07	14.04
NGC  4385   	 UGC  7515     	12 25 42.6	+00 34 24	-1.0	 1.34	 0.20	 82	13.20	 0.78	12.58
NGC  4492   	 UGC  7656     	12 30 59.9	+08 04 39	 1.0	 1.23	 0.03	   	13.20	     	
NGC  4620   	 UGC  7859     	12 41 59.7	+12 56 35	-2.0	 1.25	 0.06	   	13.20	     	
NGC  4955   	 ESO  443- 62  	13 06 05.4	-29 45 15	-5.0	 1.26	 0.15	   	13.20	 0.90	13.15
A   1334+07 	 UGC  8614     	13 37 24.0	+07 38 00	10.0	 1.53	 0.27	   	13.20	 1.22	14.76
NGC  5560   	 UGC  9172     	14 20 04.8	+03 59 34	 3.0	 1.57	 0.73	115	13.20	     	
NGC  5996   	 MCG  3-40- 39 	15 46 59.0	+17 53 08	    	 1.24	 0.28	   	13.20	     	
NGC  6854   	 ESO  185- 61  	20 05 39.0	-54 22 37	-3.4	 1.31	 0.18	166	13.20	 0.97	13.55
NGC  7416   	 MCG -1-58-  4 	22 55 42.0	-05 29 00	 3.0	 1.50	 0.55	110	13.20	 0.94	13.42
IC   5269B  	 ESO  406- 26  	22 56 36.5	-36 14 58	 5.5	 1.61	 0.72	 96	13.20	     	
            	 ESO  240- 11  	23 37 49.4	-47 43 35	 4.8	 1.72	 1.02	129	13.20	     	
NGC   491   	 ESO  352- 53  	01 21 20.2	-34 03 48	 3.0	 1.14	 0.12	 93	13.21	 0.64	11.90
NGC   907   	 ESO  545- 10  	02 23 02.2	-20 42 48	 8.0	 1.26	 0.49	 81	13.21	 0.86	13.00
NGC  2347   	 UGC  3759     	07 16 04.3	+64 42 37	 3.0	 1.25	 0.15	175	13.21	 0.85	12.95
NGC  2369   	 ESO  122- 18  	07 16 38.5	-62 20 40	 1.0	 1.55	 0.52	177	13.21	 0.89	13.15
IC    467   	 UGC  3834     	07 30 19.7	+79 52 22	 5.0	 1.51	 0.40	 80	13.21	 1.10	14.10
NGC  3274   	 UGC  5721     	10 32 16.7	+27 40 13	 6.8	 1.33	 0.32	100	13.21	     	
IC   4366   	 ESO  384- 45  	14 05 11.7	-33 45 38	 5.0	 1.19	 0.09	   	13.21	 0.98	13.60
IC   4653   	 ESO  138- 28  	17 27 07.3	-60 52 51	-0.5	 1.20	 0.20	 52	13.21	 0.72	12.30
Pegasus     	 UGC 12613     	23 28 34.1	+14 44 48	10.0	 1.70	 0.27	120	13.21	     	
IC   1812   	 ESO  246- 19  	02 29 32.3	-42 48 35	-3.8	 1.30	 0.09	   	13.22	 0.89	13.16
NGC  1265   	 UGC  2651     	03 18 15.8	+41 51 27	-4.0	 1.26	 0.06	165	13.22	 1.14	14.41
NGC  1438   	 ESO  482- 41  	03 45 17.2	-23 00 10	 0.0	 1.30	 0.36	 69	13.22	 0.91	13.26
NGC  2179   	 ESO  555- 38  	06 08 02.2	-21 44 48	 0.0	 1.23	 0.16	170	13.22	 0.83	12.86
NGC  3482   	 ESO  264- 56  	10 58 33.8	-46 35 05	 0.8	 1.28	 0.14	 14	13.22	 0.91	13.26
NGC  3928   	 UGC  6834     	11 51 47.1	+48 40 53	 3.0	 1.18	 0.00	   	13.22	 0.58	11.61
            	 ESO   68- 12  	15 54 45.8	-68 43 02	    	 1.05	 0.21	 88	13.22	 0.98	13.61
IC   5042   	 ESO  106- 13  	20 47 46.2	-65 05 09	    	 1.07	 0.15	 40	13.22	 0.78	
NGC  7250   	 UGC 11980     	22 18 17.6	+40 33 45	 8.0	 1.24	 0.34	157	13.22	 0.78	12.61
NGC  7302   	 MCG -2-57- 13 	22 32 24.0	-14 07 00	-3.0	 1.25	 0.21	   	13.22	 0.65	11.96
NGC   881   	 MCG -1- 6- 89 	02 18 45.4	-06 38 24	 5.0	 1.35	 0.18	140	13.23	 0.96	13.52
NGC  1571   	 ESO  250- 19  	04 22 08.8	-43 37 44	-4.0	 1.30	 0.12	172	13.23	 0.64	11.92
NGC  2487   	 UGC  4126     	07 58 20.2	+25 08 59	 3.0	 1.42	 0.09	115	13.23	 1.01	13.77
NGC  3471   	 UGC  6064     	10 59 09.3	+61 31 51	 1.0	 1.24	 0.32	 14	13.23	 0.76	12.52
NGC  5237   	 ESO  270- 22  	13 37 39.0	-42 50 51	90.0	 1.29	 0.09	128	13.23	 0.82	12.82
NGC  5574   	 UGC  9181     	14 20 56.4	+03 14 21	-3.0	 1.21	 0.23	 63	13.23	 0.63	11.87
NGC  6702   	 UGC 11354     	18 46 57.8	+45 42 24	-5.0	 1.25	 0.14	 65	13.23	 0.91	13.27
IC   4796   	 ESO  183- 28  	18 56 28.0	-54 12 52	-1.6	 1.20	 0.23	140	13.23	 0.71	12.27
NGC  7320   	 UGC 12101     	22 36 04.2	+33 56 52	 7.0	 1.35	 0.29	132	13.23	 1.05	13.88
NGC   693   	 UGC  1304     	01 50 30.9	+06 08 41	 0.0	 1.33	 0.32	106	13.24	 0.79	12.68
NGC   803   	 UGC  1554     	02 03 45.2	+16 01 53	 5.0	 1.48	 0.38	  8	13.24	 0.97	13.58
NGC  2563   	 UGC  4347     	08 20 35.7	+21 04 09	-2.0	 1.32	 0.14	 80	13.24	 0.81	12.78
NGC  2810   	 UGC  4954     	09 22 04.5	+71 50 42	-5.0	 1.23	 0.00	   	13.24	 0.81	12.78
NGC  4623   	 UGC  7862     	12 42 10.7	+07 40 42	-0.5	 1.35	 0.49	176	13.24	 0.83	11.94
NGC  6305   	 ESO  138- 19  	17 18 00.5	-59 10 18	-3.0	 1.25	 0.19	133	13.24	 0.54	11.43
NGC  7265   	 UGC 12004     	22 22 27.4	+36 12 35	-3.0	 1.38	 0.09	170	13.24	 0.81	12.78
NGC  7768   	 UGC 12806     	23 50 58.5	+27 08 50	-5.0	 1.20	 0.09	 60	13.24	 0.97	13.58
NGC   193   	 UGC   408     	00 39 18.3	+03 19 53	-2.5	 1.16	 0.08	 55	13.25	 0.81	12.79
NGC  1132   	 UGC  2359     	02 52 51.6	-01 16 33	-4.5	 1.40	 0.27	140	13.25	 1.05	13.99
NGC  1924   	 MCG -1-14- 11 	05 28 02.2	-05 18 39	 4.0	 1.20	 0.12	140	13.25	 0.80	12.74
NGC  2915   	 ESO   37-  3  	09 26 11.6	-76 37 35	90.0	 1.28	 0.29	129	13.25	 0.72	12.32
NGC  3070   	 UGC  5350     	09 58 07.1	+10 21 40	-5.0	 1.16	 0.00	   	13.25	 0.71	12.29
NGC  3353   	 UGC  5860     	10 45 22.6	+55 57 33	 3.0	 1.13	 0.15	   	13.25	 0.51	11.29
NGC  3838   	 UGC  6707     	11 44 14.4	+57 57 01	-0.4	 1.19	 0.39	141	13.25	     	
NGC  5182   	 ESO  444- 62  	13 30 41.3	-28 09 03	 3.8	 1.27	 0.16	   	13.25	 0.98	13.64
NGC  5380   	 UGC  8870     	13 56 56.8	+37 36 34	-2.5	 1.23	 0.00	   	13.25	 0.89	13.19
A   1422+44 	 UGC  9240     	14 24 43.9	+44 31 35	10.0	 1.26	 0.00	   	13.25	 1.06	14.04
IC   5039   	 ESO  463- 20  	20 43 14.4	-29 51 13	 4.3	 1.38	 0.60	156	13.25	 0.87	13.09
NGC  7015   	 UGC 11674     	21 05 36.5	+11 24 50	 4.0	 1.27	 0.06	   	13.25	 0.85	12.99
IC   5131   	 ESO  403- 27  	21 47 25.7	-34 53 05	-3.0	 1.16	 0.02	   	13.25	 0.64	11.94
NGC   976   	 UGC  2042     	02 33 59.6	+20 58 36	 5.0	 1.17	 0.08	   	13.26	 0.71	12.30
NGC  1211   	 UGC  2545     	03 06 52.5	-00 47 48	 0.0	 1.32	 0.06	 30	13.26	 0.83	12.90
NGC  1572   	 ESO  303- 14  	04 22 42.6	-40 35 58	 0.7	 1.39	 0.30	  0	13.26	 0.93	13.40
NGC  4288   	 UGC  7399     	12 20 38.8	+46 17 36	 8.0	 1.33	 0.12	130	13.26	 0.93	13.40
NGC  4553   	 ESO  322- 30  	12 36 08.1	-39 26 19	-1.0	 1.33	 0.32	176	13.26	 0.86	13.05
NGC  4956   	 UGC  8177     	13 05 01.7	+35 10 42	-2.0	 1.18	 0.00	   	13.26	     	
NGC  6780   	 ESO  184- 62  	19 22 51.2	-55 46 26	 5.0	 1.29	 0.08	168	13.26	 1.06	14.05
NGC   182   	 UGC   382     	00 38 12.5	+02 43 44	 1.3	 1.30	 0.08	 75	13.27	 0.99	13.71
Holmberg VI 	 ESO  548- 10  	03 24 48.4	-21 20 16	 6.7	 1.34	 0.04	   	13.27	     	
NGC  1752   	 MCG -1-13- 47 	05 02 09.6	-08 14 29	 4.5	 1.42	 0.51	 70	13.27	 1.00	13.76
NGC  3106   	 UGC  5419     	10 04 05.6	+31 11 10	-2.0	 1.25	 0.00	   	13.27	 0.96	13.56
NGC  4433   	 MCG -1-32- 13 	12 27 38.5	-08 16 47	 2.0	 1.34	 0.36	  5	13.27	 0.69	12.21
A   1247-10 	 MCG -2-33- 20 	12 50 24.0	-10 51 00	 8.5	 1.51	 0.34	   	13.27	 1.15	14.51
NGC  5859   	 UGC  9728     	15 07 35.4	+19 34 57	 4.0	 1.46	 0.50	136	13.27	 0.95	13.51
IC   4729   	 ESO  103- 40  	18 39 57.6	-67 25 36	 4.5	 1.20	 0.09	150	13.27	 0.93	13.41
IC   4836   	 ESO  141- 43  	19 16 17.7	-60 12 00	 4.3	 1.17	 0.06	   	13.27	 0.86	13.06
NGC  7219   	 ESO  108- 19  	22 13 08.2	-64 50 50	 0.0	 1.24	 0.22	 27	13.27	 0.70	12.26
NGC  2820   	 UGC  4961     	09 21 47.1	+64 15 29	 5.0	 1.61	 0.92	 59	13.28	     	
NGC  4305   	 UGC  7432     	12 22 03.8	+12 44 25	 1.0	 1.34	 0.26	 32	13.28	 0.98	13.63
NGC  4451   	 UGC  7600     	12 28 40.6	+09 15 30	 4.0	 1.17	 0.19	162	13.29	     	
            	 ESO  269- 58  	13 10 33.0	-46 59 27	90.0	 1.47	 0.21	 69	13.29	 0.96	13.58
IC    971   	 MCG -2-36-  5 	14 03 52.9	-10 08 22	 5.0	 1.34	 0.25	   	13.29	 1.00	13.78
A   1755+32 	 UGC 11058     	17 56 55.1	+32 38 09	 3.0	 1.17	 0.11	 45	13.29	 1.00	13.78
NGC  7162   	 ESO  288- 26  	21 59 38.9	-43 18 18	 5.0	 1.45	 0.43	 10	13.29	 1.00	13.70
NGC    10   	 ESO  349- 32  	00 08 34.4	-33 51 30	 3.6	 1.38	 0.30	 25	13.30	     	
NGC   257   	 UGC   493     	00 48 01.6	+08 17 48	 6.0	 1.27	 0.15	105	13.30	 0.87	13.09
NGC   687   	 UGC  1298     	01 50 33.3	+36 22 15	-2.0	 1.15	 0.00	   	13.30	 0.81	12.84
NGC   855   	 UGC  1718     	02 14 03.7	+27 52 38	-5.0	 1.42	 0.44	   	13.30	 0.82	12.89
IC   1914   	 ESO  200-  3  	03 19 24.8	-49 35 59	 7.0	 1.58	 0.29	 99	13.30	 1.19	14.70
NGC  1616   	 ESO  251- 10  	04 32 41.5	-43 42 56	 3.5	 1.26	 0.29	 36	13.30	 0.74	12.49
NGC  1642   	 UGC  3140     	04 42 54.5	+00 37 11	 5.0	 1.26	 0.06	175	13.30	 0.84	12.99
IC    392   	 UGC  3158     	04 46 24.0	+03 30 00	-2.0	 1.21	 0.13	170	13.30	 0.94	13.49
            	               	05 01 37.9	-04 15 28	 9.0	     	     	   	13.30	     	
NGC  1741   	 MCG -1-13- 45 	05 01 38.4	-04 15 25	99.0	 1.15	 0.30	   	13.30	     	
            	 UGC  3642     	07 04 20.9	+64 01 15	-2.0	 1.18	 0.12	 30	13.30	 0.94	13.53
NGC  2954   	 UGC  5155     	09 40 24.7	+14 55 20	-5.0	 1.23	 0.18	160	13.30	 0.73	12.44
NGC  2977   	 UGC  5175     	09 43 46.9	+74 51 43	 3.0	 1.26	 0.36	145	13.30	 0.80	12.80
NGC  3074   	 UGC  5366     	09 59 41.2	+35 23 32	 5.0	 1.37	 0.05	145	13.30	 1.09	14.24
IC   2587   	 ESO  375- 51  	10 31 00.2	-34 33 50	-2.9	 1.31	 0.13	 10	13.30	 0.84	12.97
            	 UGC  6132     	11 04 27.7	+38 12 32	    	 0.90	 0.12	   	13.30	 0.29	10.21
NGC  3573   	 ESO  377- 22  	11 11 19.0	-36 52 25	 0.0	 1.56	 0.57	  4	13.30	     	
NGC  3682   	 UGC  6459     	11 27 42.7	+66 35 25	 0.0	 1.22	 0.18	 95	13.30	 0.52	11.37
NGC  3978   	 UGC  6910     	11 56 10.6	+60 31 21	 4.0	 1.21	 0.04	   	13.30	     	
NGC  3994   	 UGC  6936     	11 57 36.0	+32 16 44	 5.0	 1.02	 0.25	 10	13.30	     	
            	 MCG -2-31- 19A	12 08 14.7	-15 43 03	 4.7	 1.04	 0.04	   	13.30	 0.87	
NGC  4234   	 UGC  7309     	12 17 08.8	+03 40 59	 8.7	 1.13	 0.03	   	13.30	     	
NGC  4348   	 MCG  0-32-  3 	12 23 54.0	-03 26 41	 4.0	 1.51	 0.64	 38	13.30	 0.83	12.96
NGC  4360   	 UGC  7484     	12 24 21.7	+09 17 41	-5.0	 1.16	 0.08	145	13.30	     	
NGC  4390   	 UGC  7519     	12 25 50.7	+10 27 33	 4.7	 1.22	 0.11	 95	13.30	     	
NGC  4515   	 UGC  7701     	12 33 04.5	+16 15 55	-3.0	 1.12	 0.09	   	13.30	     	
NGC  4712   	 UGC  7977     	12 49 34.6	+25 28 13	 4.0	 1.40	 0.35	160	13.30	 1.17	14.64
